2026/03/31 11:29:28:684 [CDevice] CAM_SerialWrite OK
2026/03/31 11:29:32:368 [CDevice] CAM_SerialWrite OK
2026/03/31 11:29:33:726 [CDevice] CAM_SerialWrite OK
2026/03/31 11:29:37:410 [CDevice] CAM_SerialWrite OK
2026/03/31 11:29:53:870 [CDevice] CAM_SerialWrite OK
2026/03/31 11:29:53:951 [CDevice] CAM_SerialWrite OK
2026/03/31 11:29:58:980 [CDevice] CAM_SerialWrite OK
2026/03/31 11:30:04:980 [CDevice] CAM_SerialWrite OK
2026/03/31 11:30:10:017 [CDevice] CAM_SerialWrite OK
2026/03/31 11:30:10:738 [CDevice] CAM_SerialWrite OK
2026/03/31 11:30:13:892 [CDevice] CAM_SerialWrite OK
2026/03/31 11:30:15:809 [CDevice] CAM_SerialWrite OK
2026/03/31 11:30:18:929 [CDevice] CAM_SerialWrite OK
2026/03/31 11:30:26:098 [CDevice] CAM_SerialWrite OK
2026/03/31 11:30:31:172 [CDevice] CAM_SerialWrite OK
2026/03/31 11:30:38:002 [CDevice] CAM_SerialWrite OK
2026/03/31 11:30:41:080 [CDevice] CAM_SerialWrite OK
2026/03/31 11:30:43:034 [CDevice] CAM_SerialWrite OK
2026/03/31 11:30:46:144 [CDevice] CAM_SerialWrite OK
2026/03/31 11:30:47:322 [CDevice] CAM_SerialWrite OK
2026/03/31 11:30:52:374 [CDevice] CAM_SerialWrite OK
2026/03/31 11:30:56:317 [CDevice] CAM_SerialWrite OK
2026/03/31 11:31:01:370 [CDevice] CAM_SerialWrite OK
2026/03/31 11:31:05:397 [CDevice] CAM_SerialWrite OK
2026/03/31 11:31:10:417 [CDevice] CAM_SerialWrite OK
2026/03/31 11:31:23:114 [CDevice] CAM_SerialWrite OK
2026/03/31 11:31:28:160 [CDevice] CAM_SerialWrite OK
2026/03/31 11:31:32:592 [CDevice] CAM_SerialWrite OK
2026/03/31 11:31:37:626 [CDevice] CAM_SerialWrite OK
2026/03/31 11:31:41:319 [CDevice] CAM_SerialWrite OK
2026/03/31 11:31:46:386 [CDevice] CAM_SerialWrite OK
2026/03/31 11:31:50:180 [CDevice] CAM_SerialWrite OK
2026/03/31 11:31:54:569 [CDevice] CAM_SerialWrite OK
2026/03/31 11:31:55:205 [CDevice] CAM_SerialWrite OK
2026/03/31 11:31:59:603 [CDevice] CAM_SerialWrite OK
2026/03/31 11:32:07:892 [CDevice] CAM_SerialWrite OK
2026/03/31 11:32:12:911 [CDevice] CAM_SerialWrite OK
2026/03/31 11:32:53:162 [CDevice] CAM_SerialWrite OK
2026/03/31 11:32:53:217 [CDevice] CAM_SerialWrite OK
2026/03/31 11:32:57:827 [CDevice] CAM_SerialWrite OK
2026/03/31 11:32:58:242 [CDevice] CAM_SerialWrite OK
2026/03/31 11:33:02:845 [CDevice] CAM_SerialWrite OK
2026/03/31 11:33:10:752 [CDevice] CAM_SerialWrite OK
2026/03/31 11:33:15:785 [CDevice] CAM_SerialWrite OK
2026/03/31 11:33:52:931 [CDevice] CAM_SerialWrite OK
2026/03/31 11:33:56:384 [CDevice] CAM_SerialWrite OK
2026/03/31 11:33:57:982 [CDevice] CAM_SerialWrite OK
2026/03/31 11:34:01:406 [CDevice] CAM_SerialWrite OK
